period_start_date,rub_ngn
2023-03-08,6.042185
2023-03-07,6.07125
2023-03-06,6.075395
2023-03-05,6.050097
2023-03-04,6.048356
2023-03-03,6.081212
2023-03-02,6.095503
2023-03-01,6.112898
2023-02-28,6.123218
2023-02-27,6.094681
2023-02-26,6.015055
2023-02-25,6.015385
2023-02-24,6.070273
2023-02-23,6.105129
2023-02-22,6.127708
2023-02-21,6.154877
2023-02-20,6.174334
2023-02-19,6.208576
2023-02-18,6.209133
2023-02-17,6.170584
2023-02-16,6.161177
2023-02-15,6.201804
2023-02-14,6.238477
2023-02-13,6.233165
2023-02-12,6.218737
2023-02-11,6.216008
2023-02-10,6.26629
2023-02-09,6.309051
2023-02-08,6.380848
2023-02-07,6.435769
2023-02-06,6.464296
2023-02-05,6.508675
2023-02-04,6.508312
2023-02-03,6.525805
2023-02-02,6.548041
2023-02-01,6.558282
2023-01-31,6.536484
2023-01-30,6.552456
2023-01-29,6.573009
2023-01-28,6.580624
2023-01-27,6.609272
2023-01-26,6.616899
2023-01-25,6.643415
2023-01-24,6.597498
2023-01-23,6.627748
2023-01-22,6.614714
2023-01-21,6.614476
2023-01-20,6.593451
2023-01-19,6.599066
2023-01-18,6.588451
2023-01-17,6.585714
2023-01-16,6.641149
2023-01-15,6.561005
2023-01-14,6.548707
2023-01-13,6.616802
2023-01-12,6.606141
2023-01-11,6.493576
2023-01-10,6.448543
2023-01-09,6.359034
2023-01-08,6.197883
2023-01-07,6.198082
2023-01-06,6.212298
2023-01-05,6.2185
2023-01-04,6.210106
2023-01-03,6.188425
2023-01-02,6.070675
2023-01-01,6.065873
2022-12-31,6.066003
2022-12-30,6.10887
2022-12-29,6.123594
2022-12-28,6.228584
2022-12-27,6.397988
2022-12-26,6.473409
2022-12-25,6.448142
2022-12-24,6.450694
2022-12-23,6.444611
2022-12-22,6.315663
2022-12-21,6.264835
2022-12-20,6.39572
2022-12-19,6.641013
2022-12-18,6.855177
2022-12-17,6.855184
2022-12-16,6.861993
2022-12-15,6.890696
2022-12-14,6.977409
2022-12-13,7.044466
2022-12-12,7.003323
2022-12-11,6.979652
2022-12-10,6.977551
2022-12-09,7.077162
2022-12-08,7.067322
2022-12-07,7.094942
2022-12-06,7.092301
2022-12-05,7.13355
2022-12-04,7.097813
2022-12-03,7.094747
2022-12-02,7.152301
2022-12-01,7.25873
2022-11-30,7.268703
2022-11-29,7.261456
2022-11-28,7.263615
2022-11-27,7.314151
2022-11-26,7.314116
2022-11-25,7.312124
2022-11-24,7.320994
2022-11-23,7.292031
2022-11-22,7.286163
2022-11-21,7.26351
2022-11-20,7.26238
2022-11-19,7.262216
2022-11-18,7.293647
2022-11-17,7.292818
2022-11-16,7.263273
2022-11-15,7.263864
2022-11-14,7.265865
2022-11-13,7.243418
2022-11-12,7.243217
2022-11-11,7.26557
2022-11-10,7.196278
2022-11-09,7.176454
2022-11-08,7.173478
2022-11-07,7.122206
2022-11-06,7.073171
2022-11-05,7.073265
2022-11-04,7.059742
2022-11-03,7.072088
2022-11-02,7.080015
2022-11-01,7.099237
2022-10-31,7.094731
2022-10-30,7.106656
2022-10-29,7.106888
2022-10-28,7.104287
2022-10-27,7.112396
2022-10-26,7.088604
2022-10-25,7.076296
2022-10-24,7.069306
2022-10-23,7.069554
2022-10-22,7.069952
2022-10-21,7.078091
2022-10-20,7.073329
2022-10-19,7.042942
2022-10-18,7.021027
2022-10-17,6.999726
2022-10-16,6.935732
2022-10-15,6.934354
2022-10-14,6.877839
2022-10-13,6.809758
2022-10-12,6.786195
2022-10-11,6.777849
2022-10-10,6.903793
2022-10-09,6.947216
2022-10-08,6.944298
2022-10-07,7.035977
2022-10-06,7.134106
2022-10-05,7.123237
2022-10-04,7.347815
2022-10-03,7.383923
2022-10-02,7.169687
2022-10-01,7.169752
2022-09-30,7.331669
2022-09-29,7.463685
2022-09-28,7.355736
2022-09-27,7.333167
2022-09-26,7.411437
2022-09-25,7.426942
2022-09-24,7.426179
2022-09-23,7.326592
2022-09-22,7.112059
2022-09-21,7.011731
2022-09-20,7.049338
2022-09-19,7.097638
2022-09-18,7.071664
2022-09-17,7.076567
2022-09-16,7.119198
2022-09-15,7.163256
2022-09-14,7.139247
2022-09-13,7.014995
2022-09-12,7.043638
2022-09-11,6.970389
2022-09-10,6.975762
